strength,mean_p_positive,std_p_positive,n_samples,delta_from_baseline,model,model_size,num_layers
-0.5,0.000968564748764,0.0029950942147624,50,-0.7809301686286926,Qwen/Qwen3-0.6B,0.6B,28
-0.25,0.036546047925949,0.1218133452333592,50,-0.7453526854515076,Qwen/Qwen3-0.6B,0.6B,28
-0.1,0.4767248880863189,0.4718662705631949,50,-0.3051738452911376,Qwen/Qwen3-0.6B,0.6B,28
-0.05,0.6652903652191162,0.4377239276958368,50,-0.1166083681583404,Qwen/Qwen3-0.6B,0.6B,28
0.0,0.7818987333774566,0.3869476595070552,50,0.0,Qwen/Qwen3-0.6B,0.6B,28
0.05,0.964213571548462,0.174307321425653,50,0.1823148381710052,Qwen/Qwen3-0.6B,0.6B,28
0.1,0.9998112046718596,0.0002062641785045,50,0.217912471294403,Qwen/Qwen3-0.6B,0.6B,28
0.25,0.999856675863266,5.564286176502715e-05,50,0.2179579424858093,Qwen/Qwen3-0.6B,0.6B,28
0.5,0.99986141204834,2.801821412997576e-05,50,0.2179626786708832,Qwen/Qwen3-0.6B,0.6B,28
-0.5,0.0197970795631408,0.1368029779063385,50,-0.9288370203971862,Qwen/Qwen3-1.7B,1.7B,28
-0.25,0.0469324135780334,0.1554397117910828,50,-0.9017016863822936,Qwen/Qwen3-1.7B,1.7B,28
-0.1,0.6263384366035462,0.4381526571468035,50,-0.3222956633567809,Qwen/Qwen3-1.7B,1.7B,28
-0.05,0.8428270173072815,0.3225267800023666,50,-0.1058070826530456,Qwen/Qwen3-1.7B,1.7B,28
0.0,0.9486340999603272,0.1549101471271356,50,0.0,Qwen/Qwen3-1.7B,1.7B,28
0.05,0.9743090915679932,0.1283323174243924,50,0.025674991607666,Qwen/Qwen3-1.7B,1.7B,28
0.1,0.9988483774662018,0.0036743579575001,50,0.0502142775058747,Qwen/Qwen3-1.7B,1.7B,28
0.25,0.9995384740829468,0.0014073558929371,50,0.0509043741226197,Qwen/Qwen3-1.7B,1.7B,28
0.5,0.9998319745063782,0.0001596548611771,50,0.051197874546051,Qwen/Qwen3-1.7B,1.7B,28
-0.5,0.0252035009860992,0.1407412533273661,50,-0.8834126031398774,Qwen/Qwen3-4B,4B,36
-0.25,0.0610266506671905,0.2028142819923787,50,-0.847589453458786,Qwen/Qwen3-4B,4B,36
-0.1,0.6075810110569,0.4433587132125463,50,-0.3010350930690766,Qwen/Qwen3-4B,4B,36
-0.05,0.7805352699756622,0.3819401166755799,50,-0.1280808341503143,Qwen/Qwen3-4B,4B,36
0.0,0.9086161041259766,0.2239598324581047,50,0.0,Qwen/Qwen3-4B,4B,36
0.05,0.9533727478981018,0.1516328900521425,50,0.0447566437721251,Qwen/Qwen3-4B,4B,36
0.1,0.9249610316753388,0.2457781860935419,50,0.0163449275493621,Qwen/Qwen3-4B,4B,36
0.25,0.9996827816963196,0.0008213500225323,50,0.091066677570343,Qwen/Qwen3-4B,4B,36
0.5,0.999862951040268,2.6055380880347715e-05,50,0.0912468469142913,Qwen/Qwen3-4B,4B,36
-0.5,0.0249511754512786,0.1418758653143208,50,-0.8075069284439087,Qwen/Qwen3-8B,8B,36
-0.25,0.2026616871356964,0.3486494675593198,50,-0.6297964167594909,Qwen/Qwen3-8B,8B,36
-0.1,0.7611581325531006,0.364658587577209,50,-0.0712999713420867,Qwen/Qwen3-8B,8B,36
-0.05,0.8674757015705109,0.281336496639012,50,0.0350175976753235,Qwen/Qwen3-8B,8B,36
0.0,0.8324581038951874,0.352411392140415,50,0.0,Qwen/Qwen3-8B,8B,36
0.05,0.9049414789676666,0.2660902639243158,50,0.0724833750724792,Qwen/Qwen3-8B,8B,36
0.1,0.9143960976600648,0.2560022571255206,50,0.0819379937648773,Qwen/Qwen3-8B,8B,36
0.25,0.9803383958339692,0.1377779717093502,50,0.1478802919387817,Qwen/Qwen3-8B,8B,36
0.5,0.9998043179512024,0.0001227961978823,50,0.167346214056015,Qwen/Qwen3-8B,8B,36
-0.5,0.1005493152141571,0.2696310681194027,50,-0.7614501678943634,Qwen/Qwen3-14B,14B,40
-0.25,0.0521962058544158,0.1913939659991665,50,-0.8098032772541046,Qwen/Qwen3-14B,14B,40
-0.1,0.5953483843803405,0.4429987218451047,50,-0.2666510987281799,Qwen/Qwen3-14B,14B,40
-0.05,0.7731199073791504,0.3690832599679501,50,-0.0888795757293701,Qwen/Qwen3-14B,14B,40
0.0,0.8619994831085205,0.3082054125989066,50,0.0,Qwen/Qwen3-14B,14B,40
0.05,0.9931710243225098,0.0183808647498701,50,0.1311715412139893,Qwen/Qwen3-14B,14B,40
0.1,0.9302587068080902,0.2451794463186719,50,0.0682592236995697,Qwen/Qwen3-14B,14B,40
0.25,0.9998305797576904,9.776344122185633e-05,50,0.1378310966491699,Qwen/Qwen3-14B,14B,40
0.5,0.9998629593849182,4.558233647944798e-05,50,0.1378634762763977,Qwen/Qwen3-14B,14B,40
-0.5,0.022497227191925,0.0091383042853001,50,-0.9560694670677186,Qwen/Qwen3-32B,32B,64
-0.25,0.0119750869274139,0.062445755615941,50,-0.9665916073322296,Qwen/Qwen3-32B,32B,64
-0.1,0.303646433353424,0.4163305940808454,50,-0.6749202609062195,Qwen/Qwen3-32B,32B,64
-0.05,0.6641681134700775,0.4554307362972018,50,-0.314398580789566,Qwen/Qwen3-32B,32B,64
0.0,0.9785666942596436,0.1400005402517825,50,0.0,Qwen/Qwen3-32B,32B,64
0.05,0.9797939085960388,0.1387488344195153,50,0.0012272143363951,Qwen/Qwen3-32B,32B,64
0.1,0.9995565390586854,0.0006251076874136,50,0.0209898447990417,Qwen/Qwen3-32B,32B,64
0.25,0.9996892189979554,0.0004172483137394,50,0.0211225247383117,Qwen/Qwen3-32B,32B,64
0.5,0.9998756730556488,1.630441811599905e-05,50,0.0213089787960052,Qwen/Qwen3-32B,32B,64
